,origin,hs07,year,export_val
492,aia,Machinery / Electrical,2010,4977200.15
493,aia,Machinery / Electrical,2011,3751967.1500000004
494,aia,Machinery / Electrical,2012,1913885.91
495,aia,Machinery / Electrical,2013,5817530.46
496,aia,Machinery / Electrical,2014,7664953.08
497,aia,Machinery / Electrical,2015,1210997.0
498,aia,Machinery / Electrical,2016,4896279.0
499,aia,Machinery / Electrical,2017,2374052.0
500,aia,Metals,2008,217229.34
501,aia,Metals,2009,4688808.169999999
502,aia,Metals,2010,537563.29
503,aia,Metals,2011,1066762.7300000002
504,aia,Metals,2012,913826.15
505,aia,Metals,2013,1034556.63
506,aia,Metals,2014,171315.43
507,aia,Metals,2015,274768.26
508,aia,Metals,2016,974526.5200000001
509,aia,Metals,2017,1004168.5499999999
510,aia,Mineral Products,2008,0.0
511,aia,Mineral Products,2009,18064.79
512,aia,Mineral Products,2010,12121.18
513,aia,Mineral Products,2011,4175797.98
514,aia,Mineral Products,2012,0.0
515,aia,Mineral Products,2013,337985.67
516,aia,Mineral Products,2014,1306992.99
517,aia,Mineral Products,2015,0.0
518,aia,Mineral Products,2016,1144856.07
519,aia,Mineral Products,2017,0.0
520,aia,Miscellaneous,2008,166828.68
521,aia,Miscellaneous,2009,451550.52
522,aia,Miscellaneous,2010,328674.33
523,aia,Miscellaneous,2011,773500.1699999999
524,aia,Miscellaneous,2012,845223.62
525,aia,Miscellaneous,2013,251707.76
526,aia,Miscellaneous,2014,608260.75
527,aia,Miscellaneous,2015,1003243.3200000001
528,aia,Miscellaneous,2016,210482.59
529,aia,Miscellaneous,2017,82580.19
530,aia,Plastics / Rubbers,2008,1179870.05
531,aia,Plastics / Rubbers,2009,2406163.45
532,aia,Plastics / Rubbers,2010,954711.98
533,aia,Plastics / Rubbers,2011,125201.9
534,aia,Plastics / Rubbers,2012,167366.7
535,aia,Plastics / Rubbers,2013,53390.35999999999
536,aia,Plastics / Rubbers,2014,177395.0
537,aia,Plastics / Rubbers,2015,136930.58000000002
538,aia,Plastics / Rubbers,2016,223694.76
539,aia,Plastics / Rubbers,2017,361466.17000000004
540,aia,"Raw Hides, Skins, Leather, & Furs",2008,0.0
541,aia,"Raw Hides, Skins, Leather, & Furs",2009,4518.0
542,aia,"Raw Hides, Skins, Leather, & Furs",2010,3918.0
543,aia,"Raw Hides, Skins, Leather, & Furs",2011,0.0
544,aia,"Raw Hides, Skins, Leather, & Furs",2012,0.0
545,aia,"Raw Hides, Skins, Leather, & Furs",2013,0.0
546,aia,"Raw Hides, Skins, Leather, & Furs",2014,0.0
547,aia,"Raw Hides, Skins, Leather, & Furs",2015,59794.0
548,aia,"Raw Hides, Skins, Leather, & Furs",2016,0.0
549,aia,"Raw Hides, Skins, Leather, & Furs",2017,0.0
550,aia,Stone / Glass,2008,7208.0
551,aia,Stone / Glass,2009,147543.75999999998
552,aia,Stone / Glass,2010,476646.58999999997
553,aia,Stone / Glass,2011,127320.62
554,aia,Stone / Glass,2012,189754.11
555,aia,Stone / Glass,2013,236112.72
556,aia,Stone / Glass,2014,126011.65
557,aia,Stone / Glass,2015,80605.0
558,aia,Stone / Glass,2016,65883.8
559,aia,Stone / Glass,2017,34034.0
560,aia,Textiles,2008,569479.46
561,aia,Textiles,2009,702757.0
562,aia,Textiles,2010,409691.15
563,aia,Textiles,2011,217360.0
564,aia,Textiles,2012,129574.45
565,aia,Textiles,2013,51316.58
566,aia,Textiles,2014,3944831.0
567,aia,Textiles,2015,21401.48
568,aia,Textiles,2016,149422.0
569,aia,Textiles,2017,165748.0
570,aia,Transportation,2008,1385871.0
571,aia,Transportation,2009,1366180.8900000001
572,aia,Transportation,2010,630847.75
573,aia,Transportation,2011,306968.79
574,aia,Transportation,2012,183105.94
575,aia,Transportation,2013,479113.65
576,aia,Transportation,2014,420874.44
577,aia,Transportation,2015,215703.0
578,aia,Transportation,2016,161099.72
579,aia,Transportation,2017,1693174.81
580,aia,Vegetable Products,2008,125206.98
581,aia,Vegetable Products,2009,39145.979999999996
582,aia,Vegetable Products,2010,118112.21
583,aia,Vegetable Products,2011,18649.83
584,aia,Vegetable Products,2012,0.0
585,aia,Vegetable Products,2013,8744.18
586,aia,Vegetable Products,2014,0.0
587,aia,Vegetable Products,2015,338829.86000000004
588,aia,Vegetable Products,2016,40856.86
589,aia,Vegetable Products,2017,112039.11
